"sku","title","br_price","category","Imageurl"
"(EH)3616010","Eheim automata akvárium fűtő 150W","7789","Akvarisztika>Fűtés/Hűtés>Fűtés","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(EH)3616010.jpg"
"(EH)3617010","Eheim automata akvárium fűtő 200W","8189","Akvarisztika>Fűtés/Hűtés>Fűtés","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(EH)3617010.jpg"
"(EH)3618010","Eheim automata akvárium fűtő 250W","8489","Akvarisztika>Fűtés/Hűtés>Fűtés","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(EH)3618010.jpg"
"(EH)3619010","Eheim automata akvárium fűtő 300W","8989","Akvarisztika>Fűtés/Hűtés>Fűtés","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(EH)3619010.jpg"
"(AEL)114958","AquaEl Shrimp Smart 20 akvárium szett fehér","23489","Akvarisztika>Akvárium szettek>Gyári szettek","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(AEL)114958.jpg"
"(AEL)122978","AquaEl Shrimp Smart 20 akvárium szett fekete","23489","Akvarisztika>Akvárium szettek>Gyári szettek","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(AEL)122978.jpg"
"ZD-25336","ÁGYÚ dekoráció","2799","Akvarisztika>Dekoráció>Dísztárgyak>Műgyanta díszek","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/ZD-25336.jpg"
"(JKA)140.40j","Atman/JK Animals automata akvárium fűtő 25W","4539","Akvarisztika>Fűtés","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(JKA)140.40j.jpg"
"(JKA)140.41j","Atman/JK Animals automata akvárium fűtő 50W","4599","Akvarisztika>Fűtés","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(JKA)140.41j.jpg"
"(JKA)140.42j","Atman/JK Animals automata akvárium fűtő 75W","4599","Akvarisztika>Fűtés","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(JKA)140.42j.jpg"
"(JKA)140.43j","Atman/JK Animals automata akvárium fűtő 100W","4699","Akvarisztika>Fűtés","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(JKA)140.43j.jpg"
"(JKA)140.44j","Atman/JK Animals automata akvárium fűtő 150W","4799","Akvarisztika>Fűtés","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(JKA)140.44j.jpg"
"(JKA)140.45j","Atman/JK Animals automata akvárium fűtő 200W","6499","Akvarisztika>Fűtés","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(JKA)140.45jjpg.jpg"
"(JKA)140.46j","Atman/JK Animals automata akvárium fűtő 250W","6799","Akvarisztika>Fűtés","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(JKA)140.46j.jpg"
"(JKA)140.47j","Atman/JK Animals automata akvárium fűtő 300W","6899","Akvarisztika>Fűtés","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(JKA)140.47j.jpg"
"(JKA)140.48j","Atman/JK Animals automata akvárium fűtő 350W","6999","Akvarisztika>Fűtés","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(JKA)140.48j.jpg"
"(EH)3611010","Eheim automata akvárium fűtő 25W","5989","Akvarisztika>Fűtés","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(EH)3611010.jpg"
"(EH)3612010","Eheim automata akvárium fűtő 50W","6289","Akvarisztika>Fűtés","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(EH)3612010.jpg"
"(EH)3613010","Eheim automata akvárium fűtő 75W","6789","Akvarisztika>Fűtés","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(EH)3613010.jpg"
"(EH)3614010","Eheim automata akvárium fűtő 100W","7389","Akvarisztika>Fűtés","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(EH)3614010.jpg"
"(EH)3616010","Eheim automata akvárium fűtő 150W","7789","Akvarisztika>Fűtés","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(EH)3616010.jpg"
"(EH)3617010","Eheim automata akvárium fűtő 200W","8189","Akvarisztika>Fűtés","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(EH)3617010.jpg"
"(EH)3618010","Eheim automata akvárium fűtő 250W","8489","Akvarisztika>Fűtés","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(EH)3618010.jpg"
"(EH)3619010","Eheim automata akvárium fűtő 300W","8989","Akvarisztika>Fűtés","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(EH)3619010.jpg"
"(AL)01","AquaLine AquaPlant tápanyag tabletta 10 db","190","Akvarisztika>Növénytápok, táptalajok","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(AL)01.jpg"
"(AL)02","Aqua Line Fe - Vas növénytáp 100 ml","1960","Akvarisztika>Növénytápok, táptalajok","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(AL)02.jpg"
"(AL)03","AquaLine Starter 100ml","2290","Akvarisztika>Vízkezelés, vízkémia","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(AL)03.jpg"
"(AL)04","AquaLine TF Macro növénytápsó folyadék 500 ml","2200","Akvarisztika>Növénytápok, táptalajok","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(AL)04.jpg"
"(AL)05","AquaLine TF MatrixTrop 1L (apró szemű szűrőanyag)","2550","Akvarisztika>Szűrőanyagok","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(AL)05.jpg"
"(AL)06","AquaLine TF Planter növénytápsó 500 ml","3200","Akvarisztika>Növénytápok, táptalajok","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(AL)06.jpg"
"(AL)07","AquaLine TF MatrixTrop 1l (nagy szemű szűrőanyag)","2550","Akvarisztika>Szűrőanyagok","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(AL)07.jpg"
"(AL)08","AquaLine TF Nitrat - kiegészítő növénytápsó folyadék 500 ml","2500","Akvarisztika>Növénytápok, táptalajok","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(AL)08.jpg"
"(AL)09","AquaLine TF Phosphate - kiegészítő növénytápsó folyadék 500 ml","2200","Akvarisztika>Növénytápok, táptalajok","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(AL)09.jpg"
"(AL)10","Liqui Carbo folyékony CO2 500 ml","3250","Akvarisztika>Növénytápok, táptalajok","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(AL)10.jpg"
"(AL)11","AquaLine Liquid Gold 100 ml","1330","Akvarisztika>Vízkezelés, vízkémia","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(AL)11.jpg"
"(EL)01","Easy-Life EasyCarbo folyékony szén akváriumi növényeknek  250 ml","2090","Akvarisztika>Növénytápok, táptalajok","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(EL)01.jpg"
"(EL)02","Easy-Life Ferro vastartalmú akváriumi növénytáp 250 ml","2090","Akvarisztika>Növénytápok, táptalajok","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(EL)02.jpg"
"(EL)03","Easy-Life ProFito akváriumi növénytápsó 250 ml","2090","Akvarisztika>Növénytápok, táptalajok","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(EL)03.jpg"
"(EL)04","Easy Life BioExit Green - Természetes algagátló","2290","Akvarisztika>Vízkezelés, vízkémia","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(EL)04.jpg"
"(EL)05","Easy Life Catappa-X 250 ml","2190","Akvarisztika>Növénytápok, táptalajok","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(EL)05jpg.jpg"
"(EL)06","Easy Life Fosfo 250 ml","2090","Akvarisztika>Növénytápok, táptalajok","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(EL)06.jpg"
"(EL)07","Easy-Life Kalium-Potassium akváriumi makro növénytáp 250 ml","2090","Akvarisztika>Növénytápok, táptalajok","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(EL)07.jpg"
"(EL)08","Easy Life Nitro 250 ml","2090","Akvarisztika>Növénytápok, táptalajok","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(EL)08.jpg"
"JBL67024","JBL Manado aljzat - 10 liter","5189","Akvarisztika>Növénytápok, táptalajok","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/JBL67024.jpg"
"JBL67025","JBL Manado aljzat - 25 liter","10389","Akvarisztika>Növénytápok, táptalajok","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/JBL67025.jpg"
"JBL67022","JBL Manado aljzat - 3 liter","2689","Akvarisztika>Növénytápok, táptalajok","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/JBL67022.png"
"JBL67037","JBL Manado Dark aljzat - 10 liter","7589","Akvarisztika>Növénytápok, táptalajok","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/JBL67037.jpg"
"N301047","Neptun Antiklór vízkezelő 10 ml","249","Akvarisztika>Vízkezelés, vízkémia","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/N301047.jpg"
"N301122","Neptun teknős szemcsepp 10 ml","249","Terrarisztika>Gyógyszerek, vitaminok","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/N301122.jpg"
"N301016","Neptun Parakill gyógykészítmény 10 ml","249","Akvarisztika>Gyógyszerek, vitaminok","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/N301016.jpg"
"N301023","Neptun Parakill Turbó gyógykészítmény 10 ml","249","Akvarisztika>Gyógyszerek, vitaminok","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/N301023.jpg"
"N301092","Neptun Metilénkék általános fertőtlenítő 10ml","249","Akvarisztika>Vízkezelés, vízkémia","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/N301092.jpg"
"N301054","Neptun Növénytápsó akváriumba 10 ml","249","Akvarisztika>Növénytápok, táptalajok","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/N301054.jpg"
"N301115","Neptun Oxigéncsepp akváriumba 10 ml","249","Akvarisztika>Vízkezelés, vízkémia","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/N301115.jpg"
"N301085","Neptun Malachitzöld fertőtlenítő szer 10 ml","249","Akvarisztika>Vízkezelés, vízkémia","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/N301085.jpg"
"N301108","Neptun Gyorsfürdő gyógykészítmény 10 ml","249","Akvarisztika>Gyógyszerek, vitaminok","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/N301108.jpg"
"N301030","Neptun Xanta-Mix fertőtlenítő szer 10 ml","249","Akvarisztika>Gyógyszerek, vitaminok","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/N301030.jpg"
"SE3040","Sera Aquatan vízkezelő - 100 ml","1389","Akvarisztika>Vízkezelés, vízkémia","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/SE3040.jpg"
"SE3050","Sera Aquatan vízkezelő - 250 ml","2389","Akvarisztika>Vízkezelés, vízkémia","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/SE3050.jpg"
"SE3030","Sera Aquatan vízkezelő - 50 ml","899","Akvarisztika>Vízkezelés, vízkémia","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/SE3030.jpg"
"SE3740","Sera Bio Nitrivec élőflóra - 100 ml","2589","Akvarisztika>Vízkezelés, vízkémia","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/SE3740.jpg"
